nome,tecnologia,outrosDetalhes,tecnologias,nivel,remoto,salario,salario_maximo,Tecnologia 1,Tecnologia 2,Tecnologia 3,Tecnologia 4,Tecnologia 5,Tecnologia 6,Tecnologia 7,Tecnologia 8,Tecnologia 9,Tecnologia 10,Tecnologia 11,Tecnologia 12
"Vencida, Desenvolvedor(a) Flutter - Sênior","API,Clean Code,Firebase,Git,Testes unitários","UDS Tecnologia,Remoto,Pequena/média empresa,Sênior,CLT / PJ,Não aceita candidatos de fora","['API', 'Clean Code', 'Firebase', 'Git', 'Testes unitários']",Sênior,Remoto,CLT / PJ,,API,Clean Code,Firebase,Git,Testes unitários,,,,,,,
"Vencida, Developer .NET","Angular,.NET,.NET Core","codeHB - Helping Business,Remoto,Pequena/média empresa,Pleno,PJ,Aceita candidatos de fora","['Angular', '.NET', '.NET Core']",Não especificado,Remoto,PJ,,Angular,.NET,.NET Core,,,,,,,,,
"Vencida, Desenvolvedor(a) Júnior - PHP","JavaScript,jQuery,MySQL,PHP","InfoIdeias Software e Consultoria,Remoto,Pequena/média empresa,Até R$3.500,Júnior,CLT,Aceita candidatos de fora","['JavaScript', 'jQuery', 'MySQL', 'PHP']",Júnior,Remoto,CLT,3.500,JavaScript,jQuery,MySQL,PHP,,,,,,,,
"Vencida, Desenvolvedor(a) Mobile Flutter/React Native - Pleno","Clean Code,Flutter,Git,ReactJS,React Native","Caminhos do Sertão Cicloturismo - TurisClube,Remoto,Startup,Pleno,PJ,Aceita candidatos de fora","['Clean Code', 'Flutter', 'Git', 'ReactJS', 'React Native']",Pleno,Remoto,PJ,,Clean Code,Flutter,Git,ReactJS,React Native,,,,,,,
"Vencida, Desenvolvedor(a) Júnior","CSS,Git,HTML,JavaScript,jQuery","Iguale Digital,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$3.000,Júnior,CLT / PJ,Aceita candidatos de fora","['CSS', 'Git', 'HTML', 'JavaScript', 'jQuery']",Júnior,Não Remoto,CLT / PJ,3.000,CSS,Git,HTML,JavaScript,jQuery,,,,,,,
"Vencida, Programador(a) Mobile Flutter - Sênior","Android,Flutter,iOS","Elev RH,São Carlos, São Paulo, Brasil,Pequena/média empresa,Até R$10.000,Sênior,PJ,Não aceita candidatos de fora","['Android', 'Flutter', 'iOS']",Sênior,Não Remoto,PJ,10.000,Android,Flutter,iOS,,,,,,,,,
"Vencida, Programador(a) Mobile Flutter - Pleno","Android,Flutter,iOS","Elev RH,São Carlos, São Paulo, Brasil,Pequena/média empresa,Até R$8.000,Pleno,PJ,Não aceita candidatos de fora","['Android', 'Flutter', 'iOS']",Pleno,Não Remoto,PJ,8.000,Android,Flutter,iOS,,,,,,,,,
"Vencida, Desenvolvedor(a) Júnior ","Java,JavaScript,SQL","Arena Go Trade ,Belo Horizonte, Minas Gerais, Brasil,Startup,Até R$4.000,Júnior,PJ,Não aceita candidatos de fora","['Java', 'JavaScript', 'SQL']",Júnior,Não Remoto,PJ,4.000,Java,JavaScript,SQL,,,,,,,,,
"Vencida, Programador(a) Back-end - Sênior ","Java,PostgreSQL,Spring Boot","Elev RH,Remoto,Pequena/média empresa,Até R$10.000,Sênior,PJ / CLT,Aceita candidatos de fora","['Java', 'PostgreSQL', 'Spring Boot']",Sênior,Remoto,PJ / CLT,10.000,Java,PostgreSQL,Spring Boot,,,,,,,,,
"Vencida, Programador(a) Back-end - Pleno","Java,PostgreSQL,Spring Boot","Elev RH,São Carlos, São Paulo, Brasil,Pequena/média empresa,Até R$8.000,Pleno,PJ,Aceita candidatos de fora","['Java', 'PostgreSQL', 'Spring Boot']",Pleno,Não Remoto,PJ,8.000,Java,PostgreSQL,Spring Boot,,,,,,,,,
