nome,tecnologia,outrosDetalhes,tecnologias,nivel,remoto,salario,salario_maximo,Tecnologia 1,Tecnologia 2,Tecnologia 3,Tecnologia 4,Tecnologia 5,Tecnologia 6,Tecnologia 7,Tecnologia 8,Tecnologia 9,Tecnologia 10,Tecnologia 11,Tecnologia 12
"Vencida, Programador(a) Full Stack - React, React Native, Node.JS - Pleno","React Native,ReactJS,JavaScript,Node.js,HTML,CSS","LOLDESIGN Soluções Web,Remoto,Pequena/média empresa,Até R$6.000,Pleno,PJ,Aceita candidatos de fora","['React Native', 'ReactJS', 'JavaScript', 'Node.js', 'HTML', 'CSS']",Pleno,Remoto,PJ,6.000,React Native,ReactJS,JavaScript,Node.js,HTML,CSS,,,,,,
"Vencida, Programador(a) Full Stack - React, React Native, Node.JS - Júnior","Node.js,React Native,ReactJS,JavaScript,HTML,CSS","LOLDESIGN Soluções Digitais LTDA,Remoto,Pequena/média empresa,Até R$3.500,Júnior,PJ,Aceita candidatos de fora","['Node.js', 'React Native', 'ReactJS', 'JavaScript', 'HTML', 'CSS']",Júnior,Remoto,PJ,3.500,Node.js,React Native,ReactJS,JavaScript,HTML,CSS,,,,,,
"Vencida, Desenvolvedor(a) Java Full-stack / Full-stack Java Developer","SQL,Spring,RESTful,Java,HTML,Angular","QAT Global,Uberaba-MG,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora","['SQL', 'Spring', 'RESTful', 'Java', 'HTML', 'Angular']",Não especificado,Não Remoto,CLT,,SQL,Spring,RESTful,Java,HTML,Angular,,,,,,
"Vencida, Desenvolvedor(a) Front End Pleno","React Native,ReactJS,JavaScript","Byne,Remoto,Startup,Até R$8.000,Pleno,CLT / PJ,Aceita candidatos de fora","['React Native', 'ReactJS', 'JavaScript']",Pleno,Remoto,CLT / PJ,8.000,React Native,ReactJS,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Back End Python Sênior","Testes unitários,Python,API","Byne,Remoto,Startup,Até R$12.000,Sênior,CLT / PJ,Não aceita candidatos de fora","['Testes unitários', 'Python', 'API']",Sênior,Remoto,CLT / PJ,12.000,Testes unitários,Python,API,,,,,,,,,
"Vencida, Desenvolvedor(a) Front End Sênior","Sass,React Native,ReactJS,Less,JavaScript","Byne,Remoto,Startup,Até R$10.000,Sênior,CLT / PJ,Não aceita candidatos de fora","['Sass', 'React Native', 'ReactJS', 'Less', 'JavaScript']",Sênior,Remoto,CLT / PJ,10.000,Sass,React Native,ReactJS,Less,JavaScript,,,,,,,
"Vencida, Desenvolvedor(a) Back-End Senior","SQL,Node.js,MongoDB,API","Agência Eu Procuro,Remoto,Pequena/média empresa,Até R$15.000,Sênior,PJ,Aceita candidatos de fora","['SQL', 'Node.js', 'MongoDB', 'API']",Não especificado,Remoto,PJ,15.000,SQL,Node.js,MongoDB,API,,,,,,,,
"Vencida, Desenvolvedor(a) Sênior Full Stack","MySQL,React Native,ReactJS,Node.js,AWS S3,MongoDB","Agência Eu Procuro,São Paulo,Pequena/média empresa,Até R$10.000,Sênior,PJ,Não aceita candidatos de fora","['MySQL', 'React Native', 'ReactJS', 'Node.js', 'AWS S3', 'MongoDB']",Sênior,Não Remoto,PJ,10.000,MySQL,React Native,ReactJS,Node.js,AWS S3,MongoDB,,,,,,
"Vencida, DESENVOLVEDOR(A) FRONT END JR","HTML,Photoshop,jQuery,CSS,JavaScript","Trainning Education Center,São Paulo,Pequena/média empresa,Júnior,CLT / PJ,Não aceita candidatos de fora","['HTML', 'Photoshop', 'jQuery', 'CSS', 'JavaScript']",Não especificado,Não Remoto,CLT / PJ,,HTML,Photoshop,jQuery,CSS,JavaScript,,,,,,,
"Vencida, Desenvolvedor(a) Back End","Python,Node.js,HTTP,Google Cloud,API","Peschke Tech,Remoto,Pequena/média empresa,Até R$7.000,Pleno,PJ,Aceita candidatos de fora","['Python', 'Node.js', 'HTTP', 'Google Cloud', 'API']",Não especificado,Remoto,PJ,7.000,Python,Node.js,HTTP,Google Cloud,API,,,,,,,
"Vencida, Desenvolvedor(a) Backend Sênior (Node.js)","AWS RDS (Relational Database Service),Node.js,API,JavaScript","Pluginbot,São Paulo,Startup,Até R$5.000,Sênior,CLT / PJ,Aceita candidatos de fora","['AWS RDS (Relational Database Service)', 'Node.js', 'API', 'JavaScript']",Sênior,Não Remoto,CLT / PJ,5.000,AWS RDS (Relational Database Service),Node.js,API,JavaScript,,,,,,,,
"Vencida, Desenvolvedor(a) Web Pleno","Python,JavaScript,SQL,CSS,HTML","Mindsight,São Paulo,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora","['Python', 'JavaScript', 'SQL', 'CSS', 'HTML']",Pleno,Não Remoto,CLT,,Python,JavaScript,SQL,CSS,HTML,,,,,,,
"Vencida, Programador(a) Java ","SQL,Java,Spring,Git,Angular,API","Startaideia,Remoto,Pequena/média empresa,Até R$8.000,Sênior,PJ,Aceita candidatos de fora","['SQL', 'Java', 'Spring', 'Git', 'Angular', 'API']",Não especificado,Remoto,PJ,8.000,SQL,Java,Spring,Git,Angular,API,,,,,,
"Vencida, Desenvolvedor(a) .Net","RESTful,.NET,API,MongoDB","Accist,Remoto,Pequena/média empresa,Júnior,PJ,Aceita candidatos de fora","['RESTful', '.NET', 'API', 'MongoDB']",Não especificado,Remoto,PJ,,RESTful,.NET,API,MongoDB,,,,,,,,
"Vencida, Desenvolvedor(a) PHP WordPress","WordPress,PHP,jQuery,JavaScript,CSS","Volts Digital,Remoto,Pequena/média empresa,Até R$3.500,Pleno,PJ,Aceita candidatos de fora","['WordPress', 'PHP', 'jQuery', 'JavaScript', 'CSS']",Não especificado,Remoto,PJ,3.500,WordPress,PHP,jQuery,JavaScript,CSS,,,,,,,
"Vencida, Desenvolvedor(a) Web - Estágio - Full Stack","ReactJS,Node.js,Firebase","Tripsz,São Paulo,Startup,Até R$1.500,Júnior,Estágio,Aceita candidatos de fora","['ReactJS', 'Node.js', 'Firebase']",Não especificado,Não Remoto,Estágio,1.500,ReactJS,Node.js,Firebase,,,,,,,,,
"Vencida, Desenvolvedor(a) Java (J2EE) Júnior","Struts,MySQL,JavaEE,Java Server Pages","Mensagex,Remoto,Startup,Até R$3.000,Júnior,PJ,Aceita candidatos de fora","['Struts', 'MySQL', 'JavaEE', 'Java Server Pages']",Júnior,Remoto,PJ,3.000,Struts,MySQL,JavaEE,Java Server Pages,,,,,,,,
"Vencida, Desenvolvedor(a) Front-end Sênior - Canaltech","ReactJS,jQuery,JavaScript,Git,CSS","Canaltech,São Bernardo do Campo,Pequena/média empresa,Até R$7.000,Sênior,CLT,Aceita candidatos de fora","['ReactJS', 'jQuery', 'JavaScript', 'Git', 'CSS']",Sênior,Não Remoto,CLT,7.000,ReactJS,jQuery,JavaScript,Git,CSS,,,,,,,
"Vencida, Desenvolvedor(a) PHP Symfony","Symfony,PHP,Git,MySQL,Linux,CodeIgniter","Lliege Serviços e Sistemas Especializados Ltda,São Paulo,Pequena/média empresa,Até R$4.000,Pleno,PJ,Não aceita candidatos de fora","['Symfony', 'PHP', 'Git', 'MySQL', 'Linux', 'CodeIgniter']",Não especificado,Não Remoto,PJ,4.000,Symfony,PHP,Git,MySQL,Linux,CodeIgniter,,,,,,
"Vencida, DESENVOLVEDOR(A) PHP PLENO","RESTful,PHP,Vue.js,API,Angular","Lliege Serviços e Sistemas Especializados Ltda,São Paulo,Pequena/média empresa,Até R$4.000,Pleno,PJ,Não aceita candidatos de fora","['RESTful', 'PHP', 'Vue.js', 'API', 'Angular']",Pleno,Não Remoto,PJ,4.000,RESTful,PHP,Vue.js,API,Angular,,,,,,,
"Vencida, Desenvolvedor(a) DevOps","C++,C#,DevOps,SCRUM","RDI Software,São Paulo,Pequena/média empresa,Até R$12.000,Sênior,CLT,Aceita candidatos de fora","['C++', 'C#', 'DevOps', 'SCRUM']",Não especificado,Não Remoto,CLT,12.000,C++,C#,DevOps,SCRUM,,,,,,,,
"Vencida, Desenvolvedor(a) Sr C++","C++,C#,C","RDI Software,Remoto,Pequena/média empresa,Até R$12.000,Sênior,CLT,Aceita candidatos de fora","['C++', 'C#', 'C']",Não especificado,Remoto,CLT,12.000,C++,C#,C,,,,,,,,,
"Vencida, Engenheiro de Software","Python,PostgreSQL,Django,Cloud","Voxy,Remoto,Startup,Até R$12.000,Sênior,CLT,Aceita candidatos de fora","['Python', 'PostgreSQL', 'Django', 'Cloud']",Não especificado,Remoto,CLT,12.000,Python,PostgreSQL,Django,Cloud,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno","PostgreSQL,.NET,JavaScript,HTML,CSS,C#","UCORP TECNOLOGIA EM GESTAO DE FROTAS E COMERCIO DE VEICULOS EIRELI  ,Remoto,Startup,Até R$7.000,Pleno,PJ,Aceita candidatos de fora","['PostgreSQL', '.NET', 'JavaScript', 'HTML', 'CSS', 'C#']",Pleno,Remoto,PJ,7.000,PostgreSQL,.NET,JavaScript,HTML,CSS,C#,,,,,,
"Vencida, Dev React Native (com iOS e Android skills)","React Native,iOS,Android","Kovver App,Remoto,Startup,Até R$7.000,Pleno,PJ,Aceita candidatos de fora","['React Native', 'iOS', 'Android']",Não especificado,Remoto,PJ,7.000,React Native,iOS,Android,,,,,,,,,
"Vencida,  Desenvolvedor(a) ASP/.NET [Presencial]",".NET,C#,ASP","G4F,Porto Alegre/RS,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora","['.NET', 'C#', 'ASP']",Não especificado,Não Remoto,CLT,,.NET,C#,ASP,,,,,,,,,
"Vencida, Desenvolvedor(a) Estagiário(a) React Native","React Native,ReactJS,Node.js,Firebase","Tripsz,Remoto,Startup,Até R$1.500,Júnior,Estágio,Aceita candidatos de fora","['React Native', 'ReactJS', 'Node.js', 'Firebase']",Não especificado,Remoto,Estágio,1.500,React Native,ReactJS,Node.js,Firebase,,,,,,,,
"Vencida, Desenvolvedor(a) ASP/ .NET [Presencial]",".NET,C#,ASP,ASP.NET MVC","G4F,Porto Alegre/RS,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora","['.NET', 'C#', 'ASP', 'ASP.NET MVC']",Não especificado,Não Remoto,CLT,,.NET,C#,ASP,ASP.NET MVC,,,,,,,,
"Vencida, Vagas de Estágio :: Desenvolvimento Web / Mobile",".NET,HTML,ASP.NET Core","Canuto Dev,Sumaré,Pequena/média empresa,Júnior,Estágio,Aceita candidatos de fora","['.NET', 'HTML', 'ASP.NET Core']",Não especificado,Não Remoto,Estágio,,.NET,HTML,ASP.NET Core,,,,,,,,,
"Vencida, Vagas para Programador(a) :: Desenvolvimento Web / Mobile",".NET,JavaScript,HTML,C++","Canuto Dev,Sumaré,Pequena/média empresa,Júnior,CLT,Aceita candidatos de fora","['.NET', 'JavaScript', 'HTML', 'C++']",Não especificado,Não Remoto,CLT,,.NET,JavaScript,HTML,C++,,,,,,,,
"Vencida, Desenvolvedor(a) / Programador(a) Delphi ","SQL Server,Git,Delphi,API","ONCLICK SISTEMAS DE INFORMAÇÃO,Remoto,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora","['SQL Server', 'Git', 'Delphi', 'API']",Não especificado,Remoto,CLT,,SQL Server,Git,Delphi,API,,,,,,,,
"Vencida, Desenvolvedor(a) Sênior React na Spacemoon","React Native,MySQL,Git,AWS S3","Spacemoon Agencia de Inovação LTDA.,Santos,Pequena/média empresa,Sênior,PJ,Não aceita candidatos de fora","['React Native', 'MySQL', 'Git', 'AWS S3']",Sênior,Não Remoto,PJ,,React Native,MySQL,Git,AWS S3,,,,,,,,
"Vencida, Programador(a) PHP","SQL,PHP,JavaScript,Angular,Laravel","AIX Sistemas,Belo Horizonte,Pequena/média empresa,Até R$3.500,Júnior,CLT,Aceita candidatos de fora","['SQL', 'PHP', 'JavaScript', 'Angular', 'Laravel']",Não especificado,Não Remoto,CLT,3.500,SQL,PHP,JavaScript,Angular,Laravel,,,,,,,
"Vencida, Desenvolvedor(a) JS, Node.js Pleno","Node.js,JavaScript,PostgreSQL,MongoDB","Markdigx,Londrina,Startup,Até R$4.000,Pleno,PJ,Aceita candidatos de fora","['Node.js', 'JavaScript', 'PostgreSQL', 'MongoDB']",Pleno,Não Remoto,PJ,4.000,Node.js,JavaScript,PostgreSQL,MongoDB,,,,,,,,
"Vencida, Desenvolvedor(a) WordPress","CSS,WordPress,PHP,JavaScript,HTML","Many Makers,Remoto,Pequena/média empresa,Até R$4.000,Pleno,PJ,Aceita candidatos de fora","['CSS', 'WordPress', 'PHP', 'JavaScript', 'HTML']",Não especificado,Remoto,PJ,4.000,CSS,WordPress,PHP,JavaScript,HTML,,,,,,,
"Vencida, DESENVOLVEDOR(A) | FULL STACK | PLENO","Docker,API,React Native,PostgreSQL,Node.js,JavaScript","V4 Company,São Leopoldo,Grande empresa,Pleno,PJ,Aceita candidatos de fora","['Docker', 'API', 'React Native', 'PostgreSQL', 'Node.js', 'JavaScript']",Pleno,Não Remoto,PJ,,Docker,API,React Native,PostgreSQL,Node.js,JavaScript,,,,,,
"Vencida, Desenvolvedor(a)  PHP Full Stack Laravel Curitiba","Laravel,JavaScript,CSS,MySQL,Angular,PHP","STDI,Remoto,Startup,Até R$3.500,Júnior,PJ,Aceita candidatos de fora","['Laravel', 'JavaScript', 'CSS', 'MySQL', 'Angular', 'PHP']",Não especificado,Remoto,PJ,3.500,Laravel,JavaScript,CSS,MySQL,Angular,PHP,,,,,,
"Vencida, Desenvolvedor(a) SFDC Sênior","Salesforce,Java,ECLiPSe,Apex,JavaScript,CSS","Syngenta Proteção de Cultivos Ltda,São Paulo,Grande empresa,Sênior,CLT,Aceita candidatos de fora","['Salesforce', 'Java', 'ECLiPSe', 'Apex', 'JavaScript', 'CSS']",Sênior,Não Remoto,CLT,,Salesforce,Java,ECLiPSe,Apex,JavaScript,CSS,,,,,,
"Vencida, Desenvolvedor(a) Full Stack - NodeJS/React/React Native - Sênior","React Native,ReactJS,Node.js,API","SM22 Tech,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora","['React Native', 'ReactJS', 'Node.js', 'API']",Sênior,Remoto,PJ,,React Native,ReactJS,Node.js,API,,,,,,,,
"Vencida, Desenvolvedor(a) NodeJS Pleno","NoSQL,Node.js,MongoDB,Docker,Vue.js","PEDFARMA,Marília,Startup,Até R$4.000,Pleno,PJ,Aceita candidatos de fora","['NoSQL', 'Node.js', 'MongoDB', 'Docker', 'Vue.js']",Pleno,Não Remoto,PJ,4.000,NoSQL,Node.js,MongoDB,Docker,Vue.js,,,,,,,
"Vencida, Pessoa Desenvolvedora Back-end PHP @mLearn","SQL,PHP,Laravel,JavaScript,API,NoSQL","Qualifica Cursos e MBA Online,Remoto,Pequena/média empresa,Até R$3.500,Pleno,CLT,Aceita candidatos de fora","['SQL', 'PHP', 'Laravel', 'JavaScript', 'API', 'NoSQL']",Não especificado,Remoto,CLT,3.500,SQL,PHP,Laravel,JavaScript,API,NoSQL,,,,,,
"Vencida, Desenvolvedor(a) PHP Pleno","PHP,Laravel,JavaScript,MySQL,Vue.js","Digifarmz Smart Agriculture,Porto Alegre,Startup,Pleno,PJ,Aceita candidatos de fora","['PHP', 'Laravel', 'JavaScript', 'MySQL', 'Vue.js']",Pleno,Não Remoto,PJ,,PHP,Laravel,JavaScript,MySQL,Vue.js,,,,,,,
"Vencida, Analista de Desenvolvimento de Software PL","C#,Angular,HTML","DESAFIO RECURSOS HUMANOS,SOROCABA,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora","['C#', 'Angular', 'HTML']",Não especificado,Não Remoto,CLT,,C#,Angular,HTML,,,,,,,,,
"Vencida, Programador(a) Full Stack Pleno - Laravel e Vue","PHP,Laravel,JavaScript,HTML,CSS","Accordous Serviços em Tecnologia da Informação LTDA,Remoto,Startup,Até R$6.000,Pleno,PJ,Aceita candidatos de fora","['PHP', 'Laravel', 'JavaScript', 'HTML', 'CSS']",Pleno,Remoto,PJ,6.000,PHP,Laravel,JavaScript,HTML,CSS,,,,,,,
"Vencida, Estágio Desenvolvedor(a) ReactJS","ReactJS,JavaScript,HTML,CSS","Kamplish,São Paulo,Startup,Até R$1.000,Júnior,Estágio,Não aceita candidatos de fora","['ReactJS', 'JavaScript', 'HTML', 'CSS']",Não especificado,Não Remoto,Estágio,1.000,ReactJS,JavaScript,HTML,CSS,,,,,,,,
"Vencida, Desenvolvedor(a) FullStack React/Node.js","ReactJS,Node.js,MySQL,Elasticsearch,JavaScript","Kamplish,São Paulo,Startup,Pleno,PJ,Não aceita candidatos de fora","['ReactJS', 'Node.js', 'MySQL', 'Elasticsearch', 'JavaScript']",Não especificado,Não Remoto,PJ,,ReactJS,Node.js,MySQL,Elasticsearch,JavaScript,,,,,,,
"Vencida, Desenvolvedor(a) PHP Pleno ","PHP,Less,JavaScript,HTML","Ezoom,Remoto,Pequena/média empresa,Até R$4.000,Pleno,PJ,Aceita candidatos de fora","['PHP', 'Less', 'JavaScript', 'HTML']",Pleno,Remoto,PJ,4.000,PHP,Less,JavaScript,HTML,,,,,,,,
"Vencida, Pessoa Desenvolvedora Front-End","Vue.js,CSS,API,JavaScript,HTML","Conexa Saúde ,São Paulo ,Startup,Pleno,PJ,Aceita candidatos de fora","['Vue.js', 'CSS', 'API', 'JavaScript', 'HTML']",Não especificado,Não Remoto,PJ,,Vue.js,CSS,API,JavaScript,HTML,,,,,,,
"Vencida, Pessoa Desenvolvedora Java Sr ","Spring,NoSQL,Java,Git,API","Conexa Saúde ,São Paulo ,Startup,Pleno,PJ,Aceita candidatos de fora","['Spring', 'NoSQL', 'Java', 'Git', 'API']",Não especificado,Não Remoto,PJ,,Spring,NoSQL,Java,Git,API,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack (NodeJS + React) Pleno","API,ReactJS,Node.js,MySQL,Git","BIPP,Caxias do Sul,Startup,Até R$6.000,Pleno,PJ,Aceita candidatos de fora","['API', 'ReactJS', 'Node.js', 'MySQL', 'Git']",Pleno,Não Remoto,PJ,6.000,API,ReactJS,Node.js,MySQL,Git,,,,,,,
"Vencida, Desenvolvedor(a) React Native Pleno","Redux,React Native,JavaScript,iOS,Android","Ezoom,Remoto,Pequena/média empresa,Até R$4.000,Pleno,PJ,Aceita candidatos de fora","['Redux', 'React Native', 'JavaScript', 'iOS', 'Android']",Pleno,Remoto,PJ,4.000,Redux,React Native,JavaScript,iOS,Android,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack SR","ReactJS,PHP,Linux,JavaScript,CSS","People TI ,Florianópolis/SC,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora","['ReactJS', 'PHP', 'Linux', 'JavaScript', 'CSS']",Não especificado,Não Remoto,CLT,,ReactJS,PHP,Linux,JavaScript,CSS,,,,,,,
"Vencida, Desenvolvedor(a)/Tech Marketer - Remoto","WordPress,PHP,JavaScript,HTML,CSS,AWS EC2 (Elastic Compute Cloud)","xTree,Remoto,Startup,Até R$5.000,Júnior,PJ,Aceita candidatos de fora","['WordPress', 'PHP', 'JavaScript', 'HTML', 'CSS', 'AWS EC2 (Elastic Compute Cloud)']",Não especificado,Remoto,PJ,5.000,WordPress,PHP,JavaScript,HTML,CSS,AWS EC2 (Elastic Compute Cloud),,,,,,
"Vencida, Analista de Sistemas Sr","C#,Git,Angular","DESAFIO RECURSOS HUMANOS,SOROCABA,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora","['C#', 'Git', 'Angular']",Não especificado,Não Remoto,CLT,,C#,Git,Angular,,,,,,,,,
"Vencida, Desenvolvedor(a) JAVA","Java,Git,Angular,SQL","Fóton,Belo Horizonte,Pequena/média empresa,Até R$7.000,Pleno,CLT,Não aceita candidatos de fora","['Java', 'Git', 'Angular', 'SQL']",Não especificado,Não Remoto,CLT,7.000,Java,Git,Angular,SQL,,,,,,,,
"Vencida, Desenvolvedor(a) PHP/Full Stack JR","PHP,JavaScript,HTML,CSS","Olivas Digital,Barueri,Pequena/média empresa,Até R$4.000,Júnior,PJ,Aceita candidatos de fora","['PHP', 'JavaScript', 'HTML', 'CSS']",Não especificado,Não Remoto,PJ,4.000,PHP,JavaScript,HTML,CSS,,,,,,,,
"Vencida, Desenvolvedor(a) Front-end SPA","JavaScript,HTML,CSS","Volare Consultoria,Remoto,Pequena/média empresa,Pleno,CLT / PJ,Aceita candidatos de fora","['JavaScript', 'HTML', 'CSS']",Não especificado,Remoto,CLT / PJ,,JavaScript,HTML,CSS,,,,,,,,,
"Vencida, Desenvolvedor(a) RUST Sēnior ","Rust,Unity,Android,AppleScript","Easy Web USA,Remoto,Startup,Até R$6.000,Sênior,PJ,Aceita candidatos de fora","['Rust', 'Unity', 'Android', 'AppleScript']",Não especificado,Remoto,PJ,6.000,Rust,Unity,Android,AppleScript,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno","Vue.js,ReactJS,PostgreSQL,PHP,JavaScript,Node.js","adōpets,Remoto,Startup,Pleno,PJ,Aceita candidatos de fora","['Vue.js', 'ReactJS', 'PostgreSQL', 'PHP', 'JavaScript', 'Node.js']",Pleno,Remoto,PJ,,Vue.js,ReactJS,PostgreSQL,PHP,JavaScript,Node.js,,,,,,
"Vencida, Desenvolvedor(a) PHP","CSS,HTML,MySQL,PHP,JavaScript,API","Zarpo Viagens,São Paulo,Pequena/média empresa,Até R$6.000,Pleno,CLT,Aceita candidatos de fora","['CSS', 'HTML', 'MySQL', 'PHP', 'JavaScript', 'API']",Não especificado,Não Remoto,CLT,6.000,CSS,HTML,MySQL,PHP,JavaScript,API,,,,,,
"Vencida, Web Developer LAMP","PHP,MySQL,JSON,JavaScript,CSS,CodeIgniter","Los Angeles Computer Department,Florianópolis,Pequena/média empresa,Até R$6.000,Pleno,CLT / PJ,Aceita candidatos de fora","['PHP', 'MySQL', 'JSON', 'JavaScript', 'CSS', 'CodeIgniter']",Não especificado,Não Remoto,CLT / PJ,6.000,PHP,MySQL,JSON,JavaScript,CSS,CodeIgniter,,,,,,
"Vencida, Programador(a) Front-End","JavaScript,CSS,HTML","WikiDados,Cascavel/Pr,Pequena/média empresa,Até R$3.000,Júnior,CLT / PJ,Aceita candidatos de fora","['JavaScript', 'CSS', 'HTML']",Não especificado,Não Remoto,CLT / PJ,3.000,JavaScript,CSS,HTML,,,,,,,,,
"Vencida, Dev PHP Senior - Laravel/Vue - Remoto","Vue.js,PHP,MySQL,Laravel,Git","DotCubed,Remoto,Startup,Até R$6.000,Sênior,PJ,Aceita candidatos de fora","['Vue.js', 'PHP', 'MySQL', 'Laravel', 'Git']",Não especificado,Remoto,PJ,6.000,Vue.js,PHP,MySQL,Laravel,Git,,,,,,,
"Vencida, Programador(a) PHP","API,PHP,Laravel,JavaScript","Tracert Soluções em TI,Nova Lima,Pequena/média empresa,Até R$3.500,Pleno,CLT,Não aceita candidatos de fora","['API', 'PHP', 'Laravel', 'JavaScript']",Não especificado,Não Remoto,CLT,3.500,API,PHP,Laravel,JavaScript,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End Pleno","TypeScript,PostgreSQL,PHP,JavaScript,API,Node.js","adōpets,Remoto,Startup,Pleno,PJ,Aceita candidatos de fora","['TypeScript', 'PostgreSQL', 'PHP', 'JavaScript', 'API', 'Node.js']",Pleno,Remoto,PJ,,TypeScript,PostgreSQL,PHP,JavaScript,API,Node.js,,,,,,
"Vencida, Desenvolvedor(a) WEB","CSS,HTML,PHP,MySQL","Desenvolvimento,Poços de caldas,Pequena/média empresa,Sênior,PJ / CLT,Aceita candidatos de fora","['CSS', 'HTML', 'PHP', 'MySQL']",Não especificado,Não Remoto,PJ / CLT,,CSS,HTML,PHP,MySQL,,,,,,,,
"Vencida, Desenvolvedor(a) Sênior Full Stack","ReactJS,Node.js,MongoDB,AWS EC2 (Elastic Compute Cloud),JavaScript","Formare Tech,Remoto,Pequena/média empresa,Até R$8.000,Sênior,PJ,Aceita candidatos de fora","['ReactJS', 'Node.js', 'MongoDB', 'AWS EC2 (Elastic Compute Cloud)', 'JavaScript']",Sênior,Remoto,PJ,8.000,ReactJS,Node.js,MongoDB,AWS EC2 (Elastic Compute Cloud),JavaScript,,,,,,,
"Vencida, Desenvolvedor(a) RUST Júnior","AppleScript,Android,Rust","Easy Web USA,Remoto,Startup,Até R$2.500,Júnior,PJ,Aceita candidatos de fora","['AppleScript', 'Android', 'Rust']",Júnior,Remoto,PJ,2.500,AppleScript,Android,Rust,,,,,,,,,
"Vencida, Desenvolvedor(a) RUST Sênior","Rust,AppleScript,Android","Easy Web USA,Remoto,Startup,Até R$4.000,Pleno,PJ,Aceita candidatos de fora","['Rust', 'AppleScript', 'Android']",Sênior,Remoto,PJ,4.000,Rust,AppleScript,Android,,,,,,,,,
"Vencida, DESENVOLVEDOR(A) JAVA SÊNIOR","Spring,JSF,Java,Hibernate,ECLiPSe","GZ Sistemas Imp e Com Ltda,Remoto,Pequena/média empresa,Até R$8.000,Sênior,CLT / PJ,Aceita candidatos de fora","['Spring', 'JSF', 'Java', 'Hibernate', 'ECLiPSe']",Sênior,Remoto,CLT / PJ,8.000,Spring,JSF,Java,Hibernate,ECLiPSe,,,,,,,
"Vencida, Desenvolvedor(a) Flutter Sênior","Flutter,JSON,Git","Ficagna & Casali Sistemas LTDA,Remoto,Startup,Até R$10.000,Sênior,PJ,Aceita candidatos de fora","['Flutter', 'JSON', 'Git']",Sênior,Remoto,PJ,10.000,Flutter,JSON,Git,,,,,,,,,
"Vencida, Desenvolvedor(a) C# .NET ","Node.js,.NET,C#,ReactJS","SOW Consultoria,Rio de Janeiro,Pequena/média empresa,Até R$15.000,Sênior,PJ,Não aceita candidatos de fora","['Node.js', '.NET', 'C#', 'ReactJS']",Não especificado,Não Remoto,PJ,15.000,Node.js,.NET,C#,ReactJS,,,,,,,,
"Vencida, Desenvolvedor(a) Python Pleno (+ DevOps)","Linux,HTTP,SQL,RESTful,Python,NoSQL","Cleartech,Barueri,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora","['Linux', 'HTTP', 'SQL', 'RESTful', 'Python', 'NoSQL']",Pleno,Não Remoto,CLT,,Linux,HTTP,SQL,RESTful,Python,NoSQL,,,,,,
"Vencida, Desenvolvedor(a) Front-End - JavaScript + React","ReactJS,Angular,JavaScript,React Native","Agefis,Fortaleza,Pequena/média empresa,Até R$3.500,Pleno,CLT,Não aceita candidatos de fora","['ReactJS', 'Angular', 'JavaScript', 'React Native']",Não especificado,Não Remoto,CLT,3.500,ReactJS,Angular,JavaScript,React Native,,,,,,,,
"Vencida, Analista / Desenvolvedor(a) Wordpress PHP","PHP,JavaScript,WordPress,CSS","Pro Educacional,Remoto,Startup,Até R$6.000,Pleno,CLT,Aceita candidatos de fora","['PHP', 'JavaScript', 'WordPress', 'CSS']",Não especificado,Remoto,CLT,6.000,PHP,JavaScript,WordPress,CSS,,,,,,,,
"Vencida, Desenvolvedor(a) Python Sr","Testes automatizados,Docker,Django,Design Pattern,API,Python","Telavita,São Paulo,Startup,Até R$10.000,Sênior,PJ,Aceita candidatos de fora","['Testes automatizados', 'Docker', 'Django', 'Design Pattern', 'API', 'Python']",Não especificado,Não Remoto,PJ,10.000,Testes automatizados,Docker,Django,Design Pattern,API,Python,,,,,,
"Vencida, Developer Front-End SR","HTML,JavaScript,CSS","SOW Consultoria,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora","['HTML', 'JavaScript', 'CSS']",Não especificado,Remoto,PJ,,HTML,JavaScript,CSS,,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End Pleno","PHP,MySQL,Elasticsearch","WEBJUMP,Remoto,Pequena/média empresa,Até R$8.000,Pleno,PJ,Aceita candidatos de fora","['PHP', 'MySQL', 'Elasticsearch']",Pleno,Remoto,PJ,8.000,PHP,MySQL,Elasticsearch,,,,,,,,,
