nome,tecnologia,outrosDetalhes
"Vencida, Desenvolvedor(a) .Net (C#) Sênior","C#,.NET,SQL Server,Angular,API,Bootstrap","Codecycle,Remoto,Pequena/média empresa,Até R$12.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP Pleno","CSS,Bootstrap,HTML,JavaScript,MySQL,PHP","CliniSYS - Tecnologia e Sistemas de Saúde,Remoto,Pequena/média empresa,Até R$5.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Senior React Developer","Angular,Backbone.js,CSS,HTML,JavaScript,ReactJS","BairesDev,Remoto,Grande empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Software Engineer - Front-End Sênior (VueJS) [INTERNACIONAL]","Testes automatizados,Vue.js,JavaScript","Novatics Tecnologia,Remoto,Pequena/média empresa,Até R$18.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Web - Pleno [Presencial] Aracaju - SE","Java,JavaScript,SQL,HTML","Gol Software,Aracaju, Sergipe, Brazil,Pequena/média empresa,Pleno,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java Sênior","Java,Lean,jQuery","BairesDev,Remoto,Grande empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Node Sênior","API,HLSL,Lean,Node.js","BairesDev,Remoto,Grande empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Full-stack Developer (React/Node)","JavaScriptMVC,Node.js,ReactJS,TypeScript","lemon.io,Remoto,Startup,Acima de R$18.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Android Java (Híbrido - Belo Horizonte)","API,JSON,Kotlin,Java","Grupo Hinova,Belo Horizonte, Minas Gerais, Brasil,Pequena/média empresa,Até R$5.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Mobile em Flutter (DART)  [Pleno]","Android Studio,Dart,Flutter","Omni Saúde,São Paulo, São Paulo, Brasil,Startup,Até R$8.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Analista Desenvolvedor(a) .Net Jr. ","Angular,C#,.NET Core","Talent Group,Remoto,Pequena/média empresa,Júnior,CLT,Aceita candidatos de fora"
"Vencida, CampusPress Sales Support Specialist","Administrador de sistema,Salesforce,WordPress","Incsub, LLC,Remoto,Pequena/média empresa,Até R$8.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java Sênior (Supply Chain)","Docker,Java,kubernetes,ORACLE,PLSQL,TDD","Luby Software do seu jeito ,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Suporte N3 Pleno ","JavaScript,.NET,Node.js,PostgreSQL,ReactJS,SQL","Shark IT,Remoto,Pequena/média empresa,Até R$10.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) PHP JR - Home Office","API,CSS,jQuery,Laravel,MySQL,PHP","Atender Digital,Remoto,Startup,Júnior,PJ,Aceita candidatos de fora"
"Vencida, WordPress Support Specialist at CampusPress","CSS,HTML,MySQL,PHP,WordPress","Incsub, LLC,Remoto,Pequena/média empresa,Até R$8.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, WordPress Support Specialist","CSS,HTML,MySQL,PHP,WordPress","Incsub, LLC,Remoto,Pequena/média empresa,Até R$8.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Javascript Pleno","CSS,HTML,JavaScript,Node.js","Market Media,Remoto,Pequena/média empresa,Até R$5.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Machine Learning Fullstack","Machine learning,Big Data,Pandas,Python","Inkluziva,Brasília, Distrito Federal, Brasil,Pequena/média empresa,Até R$15.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) C# Pleno","C#,SQL Server,Web API","Market Media,Remoto,Pequena/média empresa,Até R$5.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Sênior ","Administrador de sistema,FreeMarker,Java,PHP,Python","Banco Bullion ,Remoto,Pequena/média empresa,Até R$3.000,Sênior,CLT,Não aceita candidatos de fora"
"Vencida, Tech Lead React Native ","Android,AWS S3,Google Cloud,iOS,PHP,React Native","Shark IT,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$18.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Júnior","API,CSS,HTML,MongoDB,MySQL,PHP","Gokei Tecnologia,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$2.500,Júnior,CLT,Não aceita candidatos de fora"
"Vencida, DESENVOLVEDOR(A) PLENO NODE","API,AWS S3,MongoDB,SQL,Node.js","LF CONNECT,Remoto,Pequena/média empresa,Até R$3.500,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Python Pleno","Django,Java,Python","IGS Desenvolvimento de Software ,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$7.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, React & React Native Developer","API,ReactJS,React Native","lemon.io,Remoto,Startup,Acima de R$18.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Pleno - 100% Remoto","DevOps,JavaScript,Node.js,PHP,ReactJS,SQL","Weef,Remoto,Pequena/média empresa,Até R$8.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-end Vue.js Pleno","Git,Laravel,TypeScript,Vue.js","Datasigh,Remoto,Pequena/média empresa,Até R$4.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) React Native Pleno","ReactJS,Node.js,React Native","FitLab,Remoto,Startup,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Pleno","Git,HTML,Linux,MySQL,PHP,TypeScript","Green4T,Remoto,Startup,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Vaga para CTO em Fintech/Startup em Fase de Scale-Up","Cloud,Java,PHP,Python,SQL","FazPay,Vitória, Espírito Santo, Brasil,Startup,Até R$10.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Vaga Desenvolvedor(a) Flutter Sênior","Flutter,CSS,Git","Investidor10,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Pleno (Web.NET/C#)","ASP.NET,C#,CSS,Git,jQuery,JavaScript","Mark Up,Remoto,Pequena/média empresa,Até R$7.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-end React Pleno","JavaScript,NextJS,ReactJS,Redux,Styled-Components,TypeScript","Wejam,Remoto,Pequena/média empresa,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) PHP Fullstack Sênior","HTML,Laravel,ReactJS,MySQL,PHP,S.O.L.I.D","Redbelt Security,Remoto,Pequena/média empresa,Até R$8.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Programador(a) de Sistemas Java Pleno","Git,Java,JavaScript","Talent Group,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
