nome,tecnologia,outrosDetalhes
"Vencida, Desenvolvedor(a) Angular Sênior","Node.js,JavaScript,CSS,Angular,API","Grupo WL,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Analista de Sistemas",".NET,SQL,C#","Mecalux do Brasil,Hortolândia -SP,Grande empresa,Até R$5.000,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full-stack (PHP+Laravel+React)","ReactJS,PHP,Laravel,Git,API","Nato-Digital,Remoto,Startup,Até R$10.000,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Mobile","React Native,Jenkins ,Git,SCRUM","Grupo Dimed - Panvel,Eldorado do Sul,Grande empresa,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Angular","Angular,ReactJS,Node.js,MongoDB,ORACLE","Grupo Dimed - Panvel,Eldorado do Sul,Grande empresa,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-End React","ReactJS,JavaScript,HTML,CSS","Credicoob,Joinville,Pequena/média empresa,Até R$4.000,Pleno,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) React","Redux,React Native,Git","Fingerprint Digital,Barueri,Startup,Pleno,CLT / PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) React Pleno","jQuery,JavaScript,ReactJS,CSS","Suntech,Florianópolis,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .NET Pleno","SQL,.NET,Entity framework,C#","Bitzen Tecnologia ,Maringá,Pequena/média empresa,Até R$6.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, ESTÁGIO EM DESENVOLVIMENTO DE SOFTWARE - 30H","CSS,TypeScript,MySQL","Melhor Plano,Belo Horizonte,Startup,Até R$1.500,Júnior,Estágio,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java","Git,Spring,SQL,NoSQL,Java","Grupo Dimed - Panvel,Eldorado do Sul,Grande empresa,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) RPA BLUEPRISM / C#","Web Services,DevOps,C#","end-to-end technology,Remoto,Pequena/média empresa,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Sênior","JavaScript,Git,ReactJS,RESTful,Node.js,MongoDB","Maktub Tech ,São Paulo,Pequena/média empresa,Até R$12.000,Sênior,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Pleno","ReactJS,RESTful,Node.js,MongoDB,JavaScript,Git","Maktub Tech ,São Paulo,Pequena/média empresa,Pleno,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java","RESTful,PostgreSQL,JSON,JavaScript,Java,Angular","Safe Trace S/A,Belo Horizonte/MG,Pequena/média empresa,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Tech lead","Swift,.NET,JavaScript,C#,ReactJS,Kotlin","Easynvest,São Paulo - SP,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Arquiteto(a) de Software",".NET,C#,AWS EC2 (Elastic Compute Cloud),ReactJS","Easynvest,São Paulo - SP,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP Pleno  ","PHP,JavaScript,Laravel,Vue.js","PEDFARMA,Marília,Startup,Pleno,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back-end","POO,.NET,C#,API","Easynvest,São Paulo,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, DESENVOLVEDOR(A) WEB ANGULAR 8+","TypeScript,Angular,SQL,HTML,CSS","Artnew Tecnologia,Goiânia,Pequena/média empresa,Até R$2.500,Júnior,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Python Pleno","Testes automatizados,Python,GraphQL,Django","ADSS,Salvador,Pequena/média empresa,Até R$3.500,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Magento","PHP,MySQL,JavaScript,HTML,Magento,CSS","Fingerprint Digital,Barueri,Startup,Pleno,CLT / PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back-End Pleno (.NET/C#/Mongo)",".NET,C#,MongoDB","Manu ,Rio de Janeiro,Startup,Pleno,PJ / CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Pleno (React Native/ReactJS/Angular/Docker)","Angular,React Native,MongoDB","Manu ,Rio de Janeiro,Startup,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Angular Pleno","HTML,Angular,CSS,JavaScript","Miraste,Remoto,Startup,Até R$2.500,Pleno,PJ,Aceita candidatos de fora"
"Vencida, [Oportunidade] Analista Desenvolvedor(a) Python Pleno","SQL,Python,ASP","Prova Fácil ,Belo Horizonte,Startup,Até R$4.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back End PHP Pleno","SQL,PHP,Laravel,Git","Rits Tecnologia,Natal,Pequena/média empresa,Até R$5.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor/a Oracle EBS com Inglês","SQL,PLSQL,ORACLE","Instituto  de Pequisas Eldorado ,Porto Alegre/RS,Grande empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack PHP","CSS,JavaScript,HTML,Git,MySQL,PHP","Rits Tecnologia,Natal,Pequena/média empresa,Até R$5.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front Pleno - React (aceita 100% remoto)","Redux,ReactJS,JavaScript,HTML,CSS,TypeScript","Enki Labs,Remoto,Pequena/média empresa,Até R$8.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-end Pleno (React)","Redux,ReactJS,JavaScript,GraphQL,Git","Carenet Longevity,São Paulo,Startup,Até R$10.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack .NET Core / AWS / Azure",".NET,Angular,ReactJS,Cloud,AWS EC2 (Elastic Compute Cloud)","Tivit,Rio de Janeiro,Grande empresa,Sênior,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Sênior - Wordpress + React","WordPress,ReactJS,PHP,Laravel,JavaScript,CSS","Suno Research,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack - Node, React e Native Pleno (Home Office)","React Native,ReactJS,Node.js","Wa Project.,Remoto,Pequena/média empresa,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Javascript","Git,MongoDB,Node.js,Vue.js","Laudite,Remoto,Startup,Até R$8.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) React Js","ReactJS,CSS,HTML,JavaScript,Redux","Kolabs Brasil,Remoto,Startup,Até R$2.500,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Técnico de Suporte","SQL,Java,Testes unitários,Linux","RHF Talentos Nacional Sul,Curitiba,Pequena/média empresa,Até R$2.500,Júnior,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP Pleno","PostgreSQL,PHP,JavaScript,CSS,CodeIgniter","Finer Soluções Web,Paraná ,Startup,Até R$3.000,Pleno,CLT,Não aceita candidatos de fora"
"Vencida, Mobile Developer","Ionic,React Native,Kotlin","OSF Global Services,Fortaleza,Grande empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, ANALISTA DE DESENVOLVIMENTO JAVA (Pl)","SQL,Java,HTML","HST Card Technology,Campinas/SP,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP Pleno  ","Laravel,PHP,Vue.js","PEDFARMA,Marília,Startup,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) de Produto","ReactJS,Node.js,SCRUM","Sistema Use Fashion Comércio de Informações Eireli,São Paulo,Pequena/média empresa,Pleno,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Mobile Júnior","Kotlin,Dart,Flutter,Java","META PLANO CONTABIL,Remoto,Pequena/média empresa,Até R$2.500,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Asp.Net Pleno",".NET,SQL,C#","Quiver,São Paulo,Pequena/média empresa,Até R$4.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java - Full Stack (Sp - Capital)","SQL,JavaScript,Java,CSS,HTML","Definite Hunting & Coach,Sao Paulo,Pequena/média empresa,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) para Sistemas Embarcados","Java,C++,C,Arduino","MtechSP,Eusébio,Pequena/média empresa,Até R$4.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Especialista em WordPress / Site","Google Analytics,WordPress,HTML","COBRIRE,Campinas,Pequena/média empresa,Até R$3.000,Pleno,CLT / PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Senior (PHP, Laravel,  ElasticSearch)","CSS,PHP,Laravel,JavaScript,Elasticsearch,API","usadosBR,Goiânia,Pequena/média empresa,Até R$7.000,Sênior,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Júnior","jQuery,Java,Angular,SQL","Valenzi Servicos Especiais em Ti,Indaiatuba,Pequena/média empresa,Júnior,CLT / PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Android ","React Native,Kotlin,Android","Instituto  de Pequisas Eldorado ,Campinas,Grande empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) de Software - Visão Computacional","Machine learning,C++,Android","Instituto  de Pequisas Eldorado ,Campinas,Grande empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Kernel ","C,Linux,Android,Linux Kernel Module","Instituto  de Pequisas Eldorado ,Campinas,Grande empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Magento 2","Magento,PHP,MySQL,API,JavaScript","DGI Importação e Exportação LTDA ,Remoto,Pequena/média empresa,Até R$2.500,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java Spring, Restfull e Angular","Java,Git,Angular,Spring,RESTful,JavaScript","Ótimo Tecnologia,Brasília,Pequena/média empresa,Até R$8.000,Sênior,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java Spring, Restfull e Angular","JavaScript,Java,Angular,Git,Spring,RESTful","Ótimo Tecnologia,Brasília,Pequena/média empresa,Até R$6.000,Pleno,CLT,Não aceita candidatos de fora"
"Vencida, Engenheiro(a) de Dados / Desenvolvedor(a) Web Analytics","Python,JavaScript,SQL","DP6,Rio de Janeiro,Pequena/média empresa,Até R$6.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) WEB - PHP - Pleno","SQL,PHP,JavaScript","Turim,Remoto,Pequena/média empresa,Até R$2.500,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Dev Ruby on Rails","JavaScript,HTML,Ruby on Rails,PostgreSQL,API,CSS","Netshow.me,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) React Native","React Native,iOS,Git,Firebase,Android","Kmob,Remoto,Startup,Até R$6.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Ionic Pleno","Ionic,SQL,PHP,iOS,Android","Ezoom,Remoto,Pequena/média empresa,Até R$4.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor de Sistemas Java (Fábrica) Pleno","ORACLE,MySQL,JavaScript,Java","Consultoria F. Poletti,Remoto,Pequena/média empresa,Até R$5.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Scala Sênior (Presencial em Lisboa)","Scala,SCRUM,Java","NOVA TENDENCIA INFORMATICA LTDA,Lisboa,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Node.js","Testes unitários,Node.js,JavaScript","Atonit,Remoto,Startup,Até R$8.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Programador Power Builder - Pleno/Senior","SQL Server,SQL,PowerBuilder","Staff Informática,Joinville,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor Full Stack - Node.JS, React, React Native - Sênior","React Native,ReactJS,Node.js,MongoDB,kubernetes,Docker","BN BRASIL SERVICES ,Rio de Janeiro,Startup,Até R$7.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-End VTEX Pleno","JavaScript,HTML,CSS","Atonit,Remoto,Startup,Até R$5.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP Júnior","JavaScript,CSS,PostgreSQL,PHP","Finer Soluções Web,Paraná,Startup,Até R$1.500,Júnior,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Android Kotlin e Java Sênior","Kotlin,Java,Git,API,Android","Box Delivery,São Paulo,Pequena/média empresa,Até R$7.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) backend PHP com laravel mysql","PHP,MySQL,JavaScript","Box Delivery,São Paulo,Pequena/média empresa,Até R$6.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP Júnior","PHP,MySQL,Laravel,API","BeeLabs,São Paulo,Pequena/média empresa,Até R$2.500,Júnior,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor Full Stack - Node.JS, React, React Native - Pleno","React Native,ReactJS,Node.js,MongoDB,kubernetes,Docker","BN BRASIL SERVICES ,Rio de Janeiro,Startup,Até R$6.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .NET Senior","API,SQL Server,.NET,Cloud","Tetris IT,Rio de Janeiro,Pequena/média empresa,Até R$15.000,Sênior,PJ,Não aceita candidatos de fora"
"Vencida, Estágio em Desenvolvimento com Linguagem Kotlin","Kotlin,Testes unitários,API,GraphQL","BLU PAGAMENTOS E TECNOLOGIA LTDA.,Remoto,Startup,Júnior,Estágio,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Web - React","ReactJS,JavaScript,HTML,CSS","LOOP3,Remoto,Pequena/média empresa,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) Back-end - Node.JS - Pleno","Git,Node.js,JavaScript","LOLDESIGN Soluções Digitais LTDA,Remoto,Pequena/média empresa,Até R$6.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) Front-end - React, React Native - Pleno","HTML,CSS,React Native,ReactJS,JavaScript","LOLDESIGN Soluções Digitais LTDA,Remoto,Pequena/média empresa,Até R$6.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) Full Stack - React, React Native, Node.JS - Pleno","React Native,ReactJS,JavaScript,Node.js,HTML,CSS","LOLDESIGN Soluções Web,Remoto,Pequena/média empresa,Até R$6.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) Full Stack - React, React Native, Node.JS - Júnior","Node.js,React Native,ReactJS,JavaScript,HTML,CSS","LOLDESIGN Soluções Digitais LTDA,Remoto,Pequena/média empresa,Até R$3.500,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java Full-stack / Full-stack Java Developer","SQL,Spring,RESTful,Java,HTML,Angular","QAT Global,Uberaba-MG,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front End Pleno","React Native,ReactJS,JavaScript","Byne,Remoto,Startup,Até R$8.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back End Python Sênior","Testes unitários,Python,API","Byne,Remoto,Startup,Até R$12.000,Sênior,CLT / PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front End Sênior","Sass,React Native,ReactJS,Less,JavaScript","Byne,Remoto,Startup,Até R$10.000,Sênior,CLT / PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back-End Senior","SQL,Node.js,MongoDB,API","Agência Eu Procuro,Remoto,Pequena/média empresa,Até R$15.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Sênior Full Stack","MySQL,React Native,ReactJS,Node.js,AWS S3,MongoDB","Agência Eu Procuro,São Paulo,Pequena/média empresa,Até R$10.000,Sênior,PJ,Não aceita candidatos de fora"
"Vencida, DESENVOLVEDOR(A) FRONT END JR","HTML,Photoshop,jQuery,CSS,JavaScript","Trainning Education Center,São Paulo,Pequena/média empresa,Júnior,CLT / PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back End","Python,Node.js,HTTP,Google Cloud,API","Peschke Tech,Remoto,Pequena/média empresa,Até R$7.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Backend Sênior (Node.js)","AWS RDS (Relational Database Service),Node.js,API,JavaScript","Pluginbot,São Paulo,Startup,Até R$5.000,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Web Pleno","Python,JavaScript,SQL,CSS,HTML","Mindsight,São Paulo,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Programador(a) Java ","SQL,Java,Spring,Git,Angular,API","Startaideia,Remoto,Pequena/média empresa,Até R$8.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .Net","RESTful,.NET,API,MongoDB","Accist,Remoto,Pequena/média empresa,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP WordPress","WordPress,PHP,jQuery,JavaScript,CSS","Volts Digital,Remoto,Pequena/média empresa,Até R$3.500,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Web - Estágio - Full Stack","ReactJS,Node.js,Firebase","Tripsz,São Paulo,Startup,Até R$1.500,Júnior,Estágio,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java (J2EE) Júnior","Struts,MySQL,JavaEE,Java Server Pages","Mensagex,Remoto,Startup,Até R$3.000,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-end Sênior - Canaltech","ReactJS,jQuery,JavaScript,Git,CSS","Canaltech,São Bernardo do Campo,Pequena/média empresa,Até R$7.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP Symfony","Symfony,PHP,Git,MySQL,Linux,CodeIgniter","Lliege Serviços e Sistemas Especializados Ltda,São Paulo,Pequena/média empresa,Até R$4.000,Pleno,PJ,Não aceita candidatos de fora"
"Vencida, DESENVOLVEDOR(A) PHP PLENO","RESTful,PHP,Vue.js,API,Angular","Lliege Serviços e Sistemas Especializados Ltda,São Paulo,Pequena/média empresa,Até R$4.000,Pleno,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) DevOps","C++,C#,DevOps,SCRUM","RDI Software,São Paulo,Pequena/média empresa,Até R$12.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Sr C++","C++,C#,C","RDI Software,Remoto,Pequena/média empresa,Até R$12.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Engenheiro de Software","Python,PostgreSQL,Django,Cloud","Voxy,Remoto,Startup,Até R$12.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Pleno","PostgreSQL,.NET,JavaScript,HTML,CSS,C#","UCORP TECNOLOGIA EM GESTAO DE FROTAS E COMERCIO DE VEICULOS EIRELI  ,Remoto,Startup,Até R$7.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Dev React Native (com iOS e Android skills)","React Native,iOS,Android","Kovver App,Remoto,Startup,Até R$7.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida,  Desenvolvedor(a) ASP/.NET [Presencial]",".NET,C#,ASP","G4F,Porto Alegre/RS,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Estagiário(a) React Native","React Native,ReactJS,Node.js,Firebase","Tripsz,Remoto,Startup,Até R$1.500,Júnior,Estágio,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) ASP/ .NET [Presencial]",".NET,C#,ASP,ASP.NET MVC","G4F,Porto Alegre/RS,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Vagas de Estágio :: Desenvolvimento Web / Mobile",".NET,HTML,ASP.NET Core","Canuto Dev,Sumaré,Pequena/média empresa,Júnior,Estágio,Aceita candidatos de fora"
"Vencida, Vagas para Programador(a) :: Desenvolvimento Web / Mobile",".NET,JavaScript,HTML,C++","Canuto Dev,Sumaré,Pequena/média empresa,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) / Programador(a) Delphi ","SQL Server,Git,Delphi,API","ONCLICK SISTEMAS DE INFORMAÇÃO,Remoto,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Sênior React na Spacemoon","React Native,MySQL,Git,AWS S3","Spacemoon Agencia de Inovação LTDA.,Santos,Pequena/média empresa,Sênior,PJ,Não aceita candidatos de fora"
"Vencida, Programador(a) PHP","SQL,PHP,JavaScript,Angular,Laravel","AIX Sistemas,Belo Horizonte,Pequena/média empresa,Até R$3.500,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) JS, Node.js Pleno","Node.js,JavaScript,PostgreSQL,MongoDB","Markdigx,Londrina,Startup,Até R$4.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) WordPress","CSS,WordPress,PHP,JavaScript,HTML","Many Makers,Remoto,Pequena/média empresa,Até R$4.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, DESENVOLVEDOR(A) | FULL STACK | PLENO","Docker,API,React Native,PostgreSQL,Node.js,JavaScript","V4 Company,São Leopoldo,Grande empresa,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a)  PHP Full Stack Laravel Curitiba","Laravel,JavaScript,CSS,MySQL,Angular,PHP","STDI,Remoto,Startup,Até R$3.500,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) SFDC Sênior","Salesforce,Java,ECLiPSe,Apex,JavaScript,CSS","Syngenta Proteção de Cultivos Ltda,São Paulo,Grande empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack - NodeJS/React/React Native - Sênior","React Native,ReactJS,Node.js,API","SM22 Tech,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) NodeJS Pleno","NoSQL,Node.js,MongoDB,Docker,Vue.js","PEDFARMA,Marília,Startup,Até R$4.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Pessoa Desenvolvedora Back-end PHP @mLearn","SQL,PHP,Laravel,JavaScript,API,NoSQL","Qualifica Cursos e MBA Online,Remoto,Pequena/média empresa,Até R$3.500,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP Pleno","PHP,Laravel,JavaScript,MySQL,Vue.js","Digifarmz Smart Agriculture,Porto Alegre,Startup,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Analista de Desenvolvimento de Software PL","C#,Angular,HTML","DESAFIO RECURSOS HUMANOS,SOROCABA,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Programador(a) Full Stack Pleno - Laravel e Vue","PHP,Laravel,JavaScript,HTML,CSS","Accordous Serviços em Tecnologia da Informação LTDA,Remoto,Startup,Até R$6.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Estágio Desenvolvedor(a) ReactJS","ReactJS,JavaScript,HTML,CSS","Kamplish,São Paulo,Startup,Até R$1.000,Júnior,Estágio,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) FullStack React/Node.js","ReactJS,Node.js,MySQL,Elasticsearch,JavaScript","Kamplish,São Paulo,Startup,Pleno,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP Pleno ","PHP,Less,JavaScript,HTML","Ezoom,Remoto,Pequena/média empresa,Até R$4.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Pessoa Desenvolvedora Front-End","Vue.js,CSS,API,JavaScript,HTML","Conexa Saúde ,São Paulo ,Startup,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Pessoa Desenvolvedora Java Sr ","Spring,NoSQL,Java,Git,API","Conexa Saúde ,São Paulo ,Startup,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack (NodeJS + React) Pleno","API,ReactJS,Node.js,MySQL,Git","BIPP,Caxias do Sul,Startup,Até R$6.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) React Native Pleno","Redux,React Native,JavaScript,iOS,Android","Ezoom,Remoto,Pequena/média empresa,Até R$4.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack SR","ReactJS,PHP,Linux,JavaScript,CSS","People TI ,Florianópolis/SC,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a)/Tech Marketer - Remoto","WordPress,PHP,JavaScript,HTML,CSS,AWS EC2 (Elastic Compute Cloud)","xTree,Remoto,Startup,Até R$5.000,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Analista de Sistemas Sr","C#,Git,Angular","DESAFIO RECURSOS HUMANOS,SOROCABA,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) JAVA","Java,Git,Angular,SQL","Fóton,Belo Horizonte,Pequena/média empresa,Até R$7.000,Pleno,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP/Full Stack JR","PHP,JavaScript,HTML,CSS","Olivas Digital,Barueri,Pequena/média empresa,Até R$4.000,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-end SPA","JavaScript,HTML,CSS","Volare Consultoria,Remoto,Pequena/média empresa,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) RUST Sēnior ","Rust,Unity,Android,AppleScript","Easy Web USA,Remoto,Startup,Até R$6.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Pleno","Vue.js,ReactJS,PostgreSQL,PHP,JavaScript,Node.js","adōpets,Remoto,Startup,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP","CSS,HTML,MySQL,PHP,JavaScript,API","Zarpo Viagens,São Paulo,Pequena/média empresa,Até R$6.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Web Developer LAMP","PHP,MySQL,JSON,JavaScript,CSS,CodeIgniter","Los Angeles Computer Department,Florianópolis,Pequena/média empresa,Até R$6.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Programador(a) Front-End","JavaScript,CSS,HTML","WikiDados,Cascavel/Pr,Pequena/média empresa,Até R$3.000,Júnior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Dev PHP Senior - Laravel/Vue - Remoto","Vue.js,PHP,MySQL,Laravel,Git","DotCubed,Remoto,Startup,Até R$6.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) PHP","API,PHP,Laravel,JavaScript","Tracert Soluções em TI,Nova Lima,Pequena/média empresa,Até R$3.500,Pleno,CLT,Não aceita candidatos de fora"
